Title	Abstract
Sight, Sound and Text in the History of Education	This special issue arose from a joint conference of the History of Education Society, UK and the Australian and New Zealand History of Education Society, held in Malvern in Worcestershire, England in 2016 on the theme ‘sight, sound and text in the history of education’. The conference drew together media and educational historians, as well as archivists and museum professionals, to examine both methodological issues and a range of examples of sensory and textual histories. The three-day event, as well as being enriching for its international character, proved that although much work has already been done in this area, there is so much more to consider and exploit when it comes to the study of the ‘new’ sonic and visual sources and their intertextual relationship with the documentary, as well as traditional understandings of ‘text’.
Structural and Predictive Properties of the Emotional Quotient Inventory Youth Version - Short Form (EQ-i:YV[s])	Emotional Intelligence (EI) is a popular construct with concentrated areas of application in education and health contexts. There is a need for reliable and valid measurement of EI in young people, with brief yet sensitive measures of the construct preferable for use in time-limited settings.  However, the proliferation of EI measures has often outpaced rigorous psychometric evaluation (Gignac, 2009). Using data from 849 adolescents (407 females; 422 males) aged 11 to 16 years (mean age 13.4; SD = 1.2 years), the current paper systematically examined the structural and predictive properties of a frequently employed measure of adolescent trait EI – the Emotional Quotient Inventory Youth Version Short Form - EQ-i:YV(S) (Bar-On & Parker, 2000). Whilst the intended multidimensional factor structure was recovered through confirmatory factor analysis, the statistical and conceptual coherency of the underlying model was inadequate.  Using a multi-trait multi-method approach, the EQ-i:YV(S) was found to converge with other measures of EI, however, evidence for divergent validity (Big Five personality dimensions) was less robust.  Predictive utility for adolescent mental health outcomes (depression; disruptive behavior) was also limited. Findings suggest that use of the EQ-i:YV(S) for predictive or evaluative purposes should be avoided until refinements to the scale are made.
A Suppressor/Avirulence Gene Combination in Hyaloperonospora Arabidopsidis Determines Race Specificity in Arabidopsis Thaliana	The pathosystem of Arabidopsis thaliana and diploid biotrophic oomycete Hyaloperonospora arabidopsidis (Hpa) has been a model for investigating the molecular basis of Flor’s gene-for-gene hypothesis. The isolates Hpa-Noks1 and Hpa-Cala2 are virulent on Arabidopsis accession RMX-A02 whilst an F1 generated from a cross between these two isolates was avirulent. The F2 progeny segregated  3,1 (avirulent, virulent), indicating a single major effect AVR locus in this pathogen. SNP-based linkage mapping confirmed a single AVR locus within a 14 kb map interval containing two genes encoding putative effectors. The Hpa-Cala2 allele of one gene, designated H. arabidopsidis cryptic1 (HAC1), encodes a protein with a signal peptide and an RxLR/dEER motif, and triggers a defense response in RMX-A02. The second gene is heterozygous in Hpa-Cala2. One allele, designated Suppressor of HAC1Cala2 (S-HAC1Cala2) encodes a protein with a signal peptide and a dKEE motif with no RxLR  motif; the other allele (s-hac1 Cala2) encodes a protein with a signal peptide, a dEEE motif and is divergent in sequence from the S-HAC1Cala2 allele. In selfed progeny from Hpa-Cala2, dominant S-HAC1Cala2 allele carrying progeny correlates with virulence in RMX-A02, whereas homozygous recessive s-hac1Cala2 carrying progeny were avirulent. Genetic investigations suggested other heterozygous suppressor loci might exist in the  Hpa-Cala2 genome.
Can the British Heart Foundation PocketCPR Application Improve the Performance of Chest Compressions During Bystander Resuscitation: a Randomised Crossover Manikin  Study	This study aims to determine whether the British Heart Foundation (BHF) PocketCPR application can improve the depth and rate of chest compression, and therefore be confidently recommended for bystander use.  118 candidates were recruited into a randomised crossover manikin trial. Each candidate performed CPR for two-minutes without instruction, or performed chest compressions using the PocketCPR application. Candidates then performed a further two minutes of CPR within the opposite arm.  The number of chest compressions performed improved when PocketCPR was used compared to chest compressions when it was not (44.28% v40.57, P<0.001). The number of chest compressions performed to the required depth was higher in the PocketCPR group (90.86 v 66.26).  The BHF PocketCPR application improved the percentage of chest compressions that were performed to the required depth. Despite this, more work is required in order to develop a feedback device that can improve bystander CPR without creating delay.
LTHEchat – The Story of a Community of Practice through Twitter	The original idea for an ongoing tweetchat for professional development came from Dr. Chrissi Nerantzi. The idea emerged through the success of the #BYOD4Lchat, a daily feature of the 5-day openly-licensed course Bring Your Own Devices for Learning (BYOD4L), first offered in January 2014 and based on flexible, distance and online learning (FDOL) Offered Monday to Friday from 8-9pm UK time #BYOD4Lchat always created a real buzz. Chrissi saw the potential for a tweetchat on its own, outside a course that would have the potential to develop a community around it. Courses have such a short lifespan, she thought. What about a community approach to professional development? If we want our academics engaged in ongoing professional development could a weekly tweetchat be an attractive option? Could it work? She wanted to give it a go! When the idea matured a little bit in her head, she shared it with Sue Beckingham over a Skype meeting and then with Dr. David Walker and Peter Reed in an email signing as Chrissi and Sue. She wanted the tweetchat to become a truly collaborative project from the outset and therefore creating the conditions for co-ownership were important to her. The Learning and Teaching in Higher Education tweetchat, or #LTHEchat, came to live. The name came from a core module Chrissi led while working at the University of Salford. Chrissi, Sue, David and Peter became the steering group and decided to run a 3-month pilot and see how it went.
Multitrait Analysis of Fresh-Cut Cantaloupe Melon Enables Discrimination Between Storage Times and Temperatures and Identifies Potential Markers for Quality Assessments	Fresh-cut cantaloupe melon is valued for its aroma but is highly perishable. Temperature of storage (typically 0-5°C) is critical for maintaining fresh-cut melon quality, but often reaches 10 Â°C during transportation and in retail outlets. A comparison amongst 0, 5 and 10 Â°C storage temperatures for fresh-cut melon over 14 days reveals that storage at 0 Â°C is optimal for avoiding increases in microbial load and loss of vitamin C especially at later time points. However, higher temperatures maintain better the balance of esters (acetate versus non-acetate) and phenolic content. The whole volatile organic compound (VOC) profile can be used to discriminate both time and temperature effects especially at earlier time points. Potential VOC markers for changes in vitamin C from day 0 to day 6 of storage (3-methyl butane nitrile) and temperature (limonene) are identified through a multi-trait analysis.
The Impact of Childhood Sexual Abuse on the Outcome of Intensive Trauma-focused Treatment for PTSD	It is assumed that PTSD patients with a history of childhood sexual abuse benefit less from trauma-focused treatment than those without such a history. : To test whether the presence of a history of childhood sexual abuse has a negative effect on the outcome of intensive trauma-focused PTSD treatment. : PTSD patients, 83% of whom suffered from severe PTSD, took part in a therapy programme consisting of 2 × 4 consecutive days of Prolonged Exposure (PE) and EMDR therapy (eight of each). In between sessions, patients participated in sport activities and psycho-education sessions. No prior stabilization phase was implemented. PTSD symptom scores of clinician-administered and self-administered measures were analysed using the data of 165 consecutive patients. Pre-post differences were compared between four trauma groups; patients with a history of childhood sexual abuse before age 12 (CSA), adolescent sexual abuse (ASA; i.e. sexual abuse between 12 and 18 years of age), sexual abuse (SA) at age 18 and over, or no history of sexual abuse (NSA). : Large effect sizes were achieved for PTSD symptom reduction for all trauma groups (Cohen's  = 1.52-2.09). For the Clinical Administered PTSD Scale (CAPS) and the Impact of Event Scale (IES), no differences in treatment outcome were found between the trauma (age) groups. For the PTSD Symptom Scale Self Report (PSS-SR), there were no differences except for one small effect between CSA and NSA. : The results do not support the hypothesis that the presence of a history of childhood sexual abuse has a detrimental impact on the outcome of first-line (intensive) trauma-focused treatments for PTSD.
Involved, Inputting or Informing?: ‘Shared’ Decision Making in Adult Mental Healthcare	Background  A diagnosis of serious mental illness can impact on the whole family.  Families informally provide significant amounts of care but are disproportionately at risk of carer burden when compared to those supporting people with other long-term conditions.  Shared decision making (SDM) is an ethical model of health communication associated with positive health outcomes, however there has been little research to evaluate how routinely family are invited to participate in SDM, or what this looks like in practice.   Objective  This UK study aimed to better understand how the family caregivers of those diagnosed with SMI are currently involved in decision making, particularly decisions about treatment options including prescribed medication.  Objectives were to:-  • Explore the extent to which family members wish to be involved in decisions about prescribed medication  • Determine how and when professionals engage family in these decisions   • Identify barriers and facilitators associated with the engagement of family in decisions about treatment.     Participants  Open-ended questions were sent to professionals and family members to elicit written responses.  Qualitative responses were analysed thematically.   Results  Themes included the definition of involvement and ‘rules of engagement’.  Staff members are gatekeepers for family involvement and the process is not democratic.  Family and staff ascribe practical, rather than recovery-oriented roles to family, with preoccupation around notions of adherence.    Conclusions  Staff members need support, training and education to apply SDM.  Time to exchange information is vital but practically difficult.  Negotiated teams, comprising of staff, service users, family, peers as applicable, with ascribed roles and responsibilities could support SDM.
Comparative WGBS Identifies Genes that Influence Non-ripe Phenotype in Tomato Epimutant Colourless Non-ripening	Whole-genome bisulfite sequencing (WGBS) allows single-base resolution and genome-wide profiling of DNA methylation in plants and animals. This technology provides a powerful tool to identify genes that are potentially controlled by dynamic changes of DNA methylation and demethylation. However, naturally occurring epimutants are rare and genes under epigenetic regulation as well as their biological relevances are often difficult to define. In tomato, fruit development and ripening are a complex process that involves epigenetic control. We have taken the advantage of the tomato epimutant Colourless non-ripening (Cnr) and performed comparative mining of the WGBS datasets for the Cnr and SlCMT3-silenced Cnr fruits. We compared DNA methylation profiles for the promoter sequences of approximately 5,000 bp immediately upstream of the coding region of a list of 20 genes. Differentially methylated regions were found for some of these genes. Virus-induced gene silencing (VIGS) of differentially methylated gene SlDET1 or SlPDS resulted in unusual brown pigmentation in Cnr fruits. These results suggest that comparative WGBS coupled with VIGS can be used to identify genes that may contribute to the colourless unripe phenotype of fruit in the Cnr epimutant. Â© 2017 Science China Press and Springer-Verlag GmbH Germany, part of Springer Nature
A Genetic Network for Systemic RNA Silencing in Plants	Non-cell autonomous RNA silencing can spread from cell to cell and over long-distance in animals and plants. However, the genetic requirements and signals involved in plant mobile silencing remain poorly understood. Here, we identified a DICER-LIKE2 (DCL2)-dependent mechanism for systemic spread of post-transcriptional RNA silencing (also known as post-transcriptional gene silencing, PTGS) in Nicotiana benthamiana. Using a suite of transgenic DCL RNAi lines coupled with a GFP reporter, we demonstrated that N. benthamiana DCL1, DCL2, DCL3 or DCL4 is required to produce microRNAs, 22, 24 or 21nt small interfering RNAs (siRNAs), respectively. All sized siRNAs produced in local incipient cells were present at low levels in distal tissues. Inhibition of DCL2 expression reduced the long-distance spread of silencing, as opposed to suppression of DCL3 or DCL4 which enhanced systemic PTGS. DCL2-DCL4 double-RNAi developed systemic PTGS like DCL2 RNAi lines, but in contrast to DCL4 RNAi lines. We further show that 21 or 24nt local siRNAs processed by DCL4 or DCL3 were not correlated with long-distance spread of systemic silencing. Grafting experiments demonstrated that DCL2 was required in the scion to respond to the signal, but not in the rootstock to produce/send the signal. These results suggest a coordinated DCL genetic pathway in which DCL2 plays an essential role in systemic PTGS, whilst both DCL4 and DCL3 may act as attenuators of systemic PTGS in N. benthamiana. The potential role of 21, 22 and 24nt siRNAs in long-distance spread of PTGS is discussed.
Towards the End of Life: an In-depth Exploration of the Role of Admiral Nursing in Dementia Care (Innovative Practice)	There are approximately 150 Admiral Nurses in the UK who work alongside other health and social care professionals to support people with dementia and their family carers. However, the stigma of the disease and the lack of recognition that dementia is a life limiting illness have led to neglect in addressing the end of life challenges. The small in-depth study reported here aimed to add to an extremely limited formal evidence base for the effectiveness of this approach and to develop a greater understanding of the range of knowledge and skills required of them in ensuring they are better able to support families in the later stages of the illness. Findings focus on the experiences of family carers, the impact of performing the Admiral Nurse role and the use of qualitative measures in this setting.
Cross-sensitization to Artemisia and Ambrosia Pollen Allergens in an Area Located Outside of the Current Distribution Range of Ambrosia	Introduction : The role of long-distance transported (LDT) Ambrosia pollen in inducing new sensitization and affecting sensitization rates in Artemisia -sensitized patients is unclear. Aim : The aim of this study was to estimate the degree of cross-sensitization to Ambrosia / Artemisia allergens in citizens of Poznan (Western Poland). This area is covered by extensive Artemisia populations but does not currently have local Ambrosia populations. Material and methods : Sera of 119 patients were tested by fluoroenzyme immunoassay (CAP-FEIA system) against pollen allergen extracts of Artemisia vulgaris and Ambrosia artemisiifolia , an allergenic component of A. vulgaris (nArt v 1), and an allergenic component of A. artemisiifolia ( nAmb a 1 ). Skin prick tests (SPTs, n = 86) were performed with pollen allergen extracts of A. vulgaris and A. artemisiifolia . Artemisia and Ambrosia pollen in ambient air was collected (1996â��2013) by a Hirst type volumetric trap sited at roof level (33 m). Results : The SPT showed that the prevalence of sensitization to Ambrosia and Artemisia pollen exceeded 3.5, and 10.5, respectively. The measurements of IgE in blood serum (CAP-FEIA) revealed that among Ambrosia -sensitized patients 90.1 (20/22 patients) were concomitantly sensitized to Artemisia . 59.1 (13/22) of these patients reacted to nArt v 1, suggesting primary sensitization to Artemisia pollen. Only 2 (9.1) patients were mono-sensitized to Ambrosia pollen extract, but surprisingly not to nAmb a 1 . Conclusions : The LDT Ambrosia pollen had a negligible effect on the rate of sensitization to Ambrosia allergens in Poznan and did not increase the prevalence of sensitization to Artemisia pollen in this region. However, the majority of patients showing hypersensitization to Artemisia pollen might also present symptoms during elevated episodes of LDT of Ambrosia pollen.
Community Palliative Care Clinical Nurse Specialists as Independent Prescribers: Part 1	The Department of Health and Social Care has recently reiterated its commitment to improvement in the quality of end-of-life care and emphasised the importance of all patients having rapid access to medication. The aim of this study was to explore the lived experiences of clinical nurse specialists who are able to prescribe the lived experiences of clinical nurse specialists who are able to prescribe independently in their role in providing support for patients with palliative care needs within the community setting. Interpretative phenomenology was employed in order to understand and interpret the experiences of six nurse specialists. This purposive sampling was preferred with semi-structured  interviews as the most appropriate data collection technique. This is the first of a two-part aritcle. In this part, the authors describe how the study was undertaken. Part 2 will provide the results, outline the key themes that were extracted from the study, and discuss them. It will be published in the next issue of the Journal.
Editorial: Spaces of Religious and Values Education	It is the remit of this journal to publish research relating to religious and values education in contemporary schools and classrooms and within religious institutions. But what of the many ubiquitous but neglected spaces of religious and values education outside of these contexts, in the cultural and public spaces of society, through organisations founded by or allied to religion, or through the media? I offer the following as examples.
Synthetic Phonics and Decodable Instructional Reading Texts: How Far Do These Support Poor Readers?	This paper presents data from a quasi-experimental trial with paired randomisation that emerged during the development of a reading scheme for children in England. This trial was conducted with a group of 12 children, aged 5–6, and considered to be falling behind their peers in reading ability and a matched control group. There were two intervention conditions (A: using mixed teaching methods and a high percentage of non-phonically decodable vocabulary; P: using mixed teaching methods and low percentage of non-decodable vocabulary); allocation to these was randomised. Children were assessed at pre- and post-test on standardised measures of receptive vocabulary, phoneme awareness, word reading, and comprehension. Two class teachers in the same school each selected 6 children, who they considered to be poor readers, to participate (n = 12). A control group (using synthetic phonics only and phonically decodable vocabulary) was selected from the same 2 classes based on pre-test scores for word reading (n = 16). Results from the study show positive benefits for poor readers from using both additional teaching methods (such as analytic phonics, sight word vocabulary, and oral vocabulary extension) in addition to synthetic phonics, and also non-decodable vocabulary in instructional reading text.
The Comic Power of Ken Kiff's Sequence	The British painter Ken Kiff (1935-2001) emerged as a powerful force in figurative painting during the 1970s and 80s. He worked as associate artist at the National Gallery in 1993. He has, since this time, drifted from attention and is in some circles considered something of a parochial figure.  Most available writing on this artist focuses on the formal aspects of his work; colour and composition. Kiff himself often deflected conversation around the narrative content of his imagery. This article presents a reconsideration of the comic power of Kiff’s paintings with particular attention on the Sequence, a series of works on paper that Kiff made alongside his wider practice for the duration of his career.  The article is part of an initiative, with the collector John Talbot to bring together the Sequence in its entirety (some 130 pictures) for the first time in an internationally significant exhibition.
But It's All Free on the Internet!	Ruth Graham of the University of Worcester in the UK on how she and her colleagues convince students and academic staff to use the online library.
A Unique Child: By Choice	Supporting children in making healthy choices about the food they eat works best when there is respect and no pressure
Critical Review of Research Evidence of Parenting Coordination’s Effectiveness	Parenting coordination (PC) has been in use since the mid-1980s, but research on its effectiveness is sorely lacking. We review the extant research organized by three themes: (1) parenting coordinators’ perceptions of their role and function; (2) professionals’ and parents’ views and perceptions of PC; and (3) outcomes of PC, including some measures of effectiveness of the PC process. While these studies provide some insight into PC effectiveness, there is still a lack of research that uses objective out- come measures of efficacy and that considers characteristics of the co-parent dyad, personality difficulties, or the professional discipline of the parenting coordinator. Future research recommendations are discussed.   Key Points for practitioners   • While parenting coordination (PC) is perceived by professionals to be effective, the research on PC effectiveness is limited by a small number of studies of variable quality; therefore there is no robust evidence of its effectiveness in practice.   • There is a need for research on PC effectiveness that considers parent engagement, conflict level, and personality variables as well as professional discipline of the parenting coordinator.  • While the Association for Family and Conciliation Courts and the American Psychological Association guidelines provide a model for PC practice, there is a distinct lack of theoretical underpinning of the PC practice.   • It is imperative for professionals and researchers to collaborate toward the development of a unified theoretical model to inform the PC role and practice, which in turn will allow objective assessment of its effectiveness.
'Was it worth it?' Intrathecal Analgesia for Cancer Pain: A Qualitative Study Exploring the Views of Family Carers	Background: Intrathecal drug delivery is known to reduce pain in patients where conventional systemic analgesia has been ineffective  or intolerable. However, there is little information regarding the effects of intrathecal drug delivery on quality of life and function in  those with advanced, incurable cancer.  Aim: Retrospective exploration of the views of bereaved carers regarding the physical and psychosocial effects of external tunnelled  intrathecal drug delivery in patients with advanced incurable cancer.  Design: Thematic analysis of qualitative interviews with carers of deceased individuals who received percutaneous external tunnelled  intrathecal drug delivery as part of their pain management, within two UK centres.  Setting: A total of 11 carers were recruited from two UK Palliative Care centres. Family carers of adult patients who had received  external tunnelled intrathecal drug delivery analgesia for cancer pain and had died between 6 and 48 months prior to contact were  included. Carer relatives who were considered likely to be too vulnerable or who had lodged a complaint about treatment within the  recruiting department or who had been treated directly by the interviewer were excluded.  Results: In total, 11 interviews took place. The emerging themes were (1) making the decision to have the intrathecal – relatives  described desperate situations with severe pain and/or sedation, meaning that the individual would try anything; (2) timing and  knowing they were having the best – an increased access to pain and palliative care services, meant carers felt everything possible  was being done, making the situation more bearable; (3) was it worth it? – the success of the external tunnelled intrathecal drug  delivery was judged on its ability to enable the individual to be themselves through their final illness. Side effects were often considered  acceptable, if the external tunnelled intrathecal drug delivery enabled improvements in quality of life.  Conclusion: Carers perceived external tunnelled intrathecal drug delivery as most valuable when it improved quality of life towards  the end of life, by reducing pain and side effects of conventional systemic analgesia to enable individuals ‘to be themselves’. Under these  circumstances, the carers judged significant side effects to be acceptable.Nishi Patel1, Melanie Huddart2, Helen Makins1, Theresa Mitchell3,  Jane L Gibbins2, Juan Graterol4, Deborah Stevens2  and Paul Perkins5
