Title	Abstract	Keywords
Running With the Ball? Making a Play for Sport Heritage Archives in Higher Education Contexts	For considerable time, academia (in particular, the Humanities) has been in an intellectual, economic and pragmatic par des deux with the culture and arts sector (in this case, heritage, museums and archives). In many ways, given their respective pursuits of scientific enquiry and learning, valuable contribution to a knowledge economy, commitment to public enlightenment, and exploration of critical and creative endeavour, a relationship between the sectors makes sense. Unity notwithstanding, the relationships have become increasingly now influenced by (en)forced contextual constraints (e.g., government policy development and intervention, neoliberal market forces, structural and ideological shifts in funding acquisition and allocation, patronage changes and demands, and/or individual political priorities) (Dubuc 2011; McCall and Gray 2014; Watson 2002). Drawing on education and heritage scholarship, and theoretical frameworks of sport culture spaces (Hardy, Loy and Booth 2009; Phillips 2012; Pinson 2017), this paper examines efforts undertaken at one specific Higher Education establishment in the United Kingdom in which institutional agendas (vis-à-vis historical and cultural foci, encouraging ‘impactful’ academic activity, brand exposure, economic efficiency, and community engagement) have contoured, and become entwined with, an embryonic sport heritage and archive project. Recalling similar arrangements elsewhere (Krüger 2014; Reilly, Clayton and Hughson 2014; Reilly 2015), the aim of this case study is to explore how the wider education and cultural policy context have precipitated an increasingly symbiotic and dependent relationship between university and cultural/arts initiatives. The paper considers how the impetus to develop a sports-based (basketball) heritage archive and study centre reflects the current fragilities of the two sectors, yet, concomitantly, reveals the potentials that might be developed from fostering greater intellectual and pragmatic alliances. The paper concludes by advocating the practical, political and ideological usefulness of network formation, sustainability measures and continued cross-sector dialogue.	sustainability
What is a Macrophyte Patch? Patch Identification in Aquatic Ecosystems and Guidelines for Consistent Delineation	Schoelynck J, Creëlle S, Buis K, De Mulder T, Emsens W, Hein T, Meire D, Meire P, Okruszko T, Preiner S, Roldan Gonzalez R, Silinski A, Temmerman S, Troch P, Van Oyen T, Verschoren V, Visser F, Wang C, Wolters J, Folkard A, in press. . Ecohydrology & Hydrobiology. DOI 10.1016/j.ecohyd.2017.10.005	ecosystems
The Subversion of Mill and the Ultimate Aim of Nursing	This is lightly edited and referenced version of a presentation given at the 20th International Philosophy of Nursing conference in Quebec on 23rd August 2016.  Philosophical texts are not given the same prominence in nurse education as their more valued younger sibling, primary research evidence, but they can influence practice through guidelines, codes and espoused values.  John Stuart Mill’s harm principle, found in On Liberty, is not a universal law, and only a thoroughgoing libertarian would defend it as such, though it, or its remnants, can be seen can be seen in policy documents. But its influence is weakening. Smoking bans in enclosed spaces were initially justified with other-regarding considerations, but judgements from unsuccessful legal challenges from patients in UK psychiatric hospitals rely on preventing harm to the smoker, even when smoking outside, which does not harm others. In the wake of legislation, no-smoking policies enacted by hospitals are becoming more aggressive, banning smoking both inside and outside, and extending the use of power gained through employment to prevent nurses assisting patients enjoy a lawful habit. Mill’s dictum has been subverted, and this speaks to the fundamental purpose of nursing.  Should nurses collude and willingly exert their power for their version of the good of the patient? Or should they instead reaffirm values that support and facilitate life choices made by autonomous people? The paper supports the latter option, and this has wider application for nursing which can be illuminated, if not settled, by revisiting Mill and his famous dictum.	employment
Reflections on Professionalism: Driving Forces that Refine and Shape Professional Practice	Early education systems in England require those who work alongside children to follow policies intended to promote quality early education and care. Their professional role is embedded into those systems and includes promoting integrated inter-professional working, safeguarding children’s welfare, supporting children to meet national early learning goals and promoting inclusive education. Their professional responsibilities include demonstrating sound pedagogical practice and a detailed developmental assessment of children. They are also asked to forge positive relationships with families and are accountable to parents and regulators. This paper provokes further thinking and exploration of these roles, responsibilities and relationships. It asks whether existing regulatory systems are the driving forces which shape professional practice and determine professionalism or if there is more to being a competent, adaptive, reflective early educator.	inclusive education
A Multicentre, Randomised Controlled Trial of Position During the Late Stages of Labour in Nulliparous Women with an Epidural: Clinical Effectiveness and an Economic Evaluation (BUMPES)	Epidural analgesia leads to increased risk of instrumental vaginal delivery (IVD). There is debate about whether or not posture in second-stage labour influences the incidence of spontaneous vaginal birth (SVB). In nulliparous women with epidural analgesia, does a policy of adopting an 'upright position' throughout second-stage labour increase the incidence of SVB compared with a policy of adopting a 'lying-down' position? Two-arm randomised controlled trial. Maternity units in England and Wales. Nulliparous women aged ≥ 16 years, at ≥ 37 weeks' gestation with singleton cephalic presentation and intended SVB, in second-stage labour with an epidural providing effective pain relief. (1) Upright position to maintain the pelvis in as vertical a plane as possible; and (2) lying-down position to maintain the pelvis in as horizontal a plane as possible. The primary outcome measure was incidence of SVB. Secondary outcomes included augmentation, interventions to maintain blood pressure, duration of labour, episiotomy, genital tract trauma, post-partum haemorrhage, maternal satisfaction, neonatal metabolic acidosis, 5-minute Apgar score of < 4, resuscitation at birth and admission to neonatal unit. At 1 year for (1) women: urinary or faecal incontinence, dyspareunia and health-related quality of life; (2) for infants: major morbidity. A cost-consequences analysis with a time horizon of 1 year after the birth from a NHS perspective. Between October 2010 and January 2014, 3236 women were randomised from 41 centres in England and Wales. There was a statistically significant difference in the incidence of SVB between groups, with 35.2% of women achieving a SVB in the upright group, compared with 41.1% in the lying-down group (adjusted risk ratio 0.86, 95% confidence interval 0.78 to 0.94). There was no evidence of differences in most of the secondary maternal or neonatal outcomes, or in long-term outcomes at the 12-month follow-up. No significant overall cost differences were observed between upright and lying-down positions for mothers or their babies. Measurement of adherence was challenging in this unmasked trial, and adherence could be influenced by midwives' beliefs about the allocated positions. If adherence was poor, this would have diluted the difference between the two groups. There is clear evidence of the benefit of adopting a lying-down position in second-stage labour in nulliparous women with epidural analgesia, with no apparent disadvantages in either short- or long-term outcomes for mother or baby, and this is cost neutral for the NHS. Questions remain about whether or not other positions could increase the incidence of SVB further in this group of women. The results also raise questions about the role of maternal position in second-stage labour in women without an epidural. Current Controlled Trials ISRCTN35706297. This project was funded by the National Institute for Health Research Health Technology Assessment programme and will be published in Health Technology Assessment, Vol 21, No. 65. See the NIHR Journals Library website for further project information.	women
Green Computer and Video Games: An Introduction	Whether framed as environmental communication, ’sustainable media’, ‘eco-media’, or ‘green popular culture’ environmental media and cultural studies constitutes an  embryonic  but  rapidly  developing  body  of  research.  The  vibrant,  multi-layered engagements of the eight essays collected here demonstrate not only that green gaming engages  with  all  of the  issues  addressed  in  that  research  but  also  that  games  and  game studies  can  expand  the  range  of  this  incipient  green  media  and  cultural  studies.  This volume  of Ecozon@is  the  first  collection  of  essays  to  focus  exclusively  on  the  topic  of ‘Green Computer and Video Games’. Working from these essays, we will demonstrate in Part  I  of this  introduction  how  attributes  specific to  gaming  might  address  and  expand our  understanding  of  environments  and  ecological  relations;  and,  in  Part  II,  how  these essays might help develop green game studies itself.	sustainable
The Relationship Between Birch Pollen, Air Pollution  and Weather Types and Their Effect on Antihistamine  Purchase in Two Swedish Cities	Exposure to elevated air pollution levels can  aggravate pollen allergy symptoms. The aim of this study  was to investigate the relationships between airborne  birch (Betula) pollen, urban air pollutants NO2, O3 and  PM10 and their effects on antihistamine demand in  Gothenburg and Malmo¨, Sweden, 2006–2012. Further,  the influence of large-scale weather pattern on pollen-/  pollution-related risk, using Lambweather types (LWTs),  was analysed. Daily LWTs were obtained by comparing  the atmospheric pressure over a 16-point grid system over  southern Sweden (scale *3000 km). They include two  non-directional types, cyclonic (C) and anticyclonic  (A) and eight directional types depending on the wind  direction (N, NE, E…). Birch pollen levels were  exceptionally high under LWTs E and SE in both cities.  Furthermore, LWTs with dry and moderately calm  meteorological character (A, NE, E, SE) were associated  with strongly elevated air pollution (NO2 and PM10) in  Gothenburg. For most weather situations in both cities,  simultaneously high birch pollen together with high air  pollution had larger over-the-counter (OTC) sales of  antihistamines than situations with high birch pollen  alone. LWTs NE, E, SE and S had the highest OTC sales  in both cities. InGothenburg, the city with a higher load of  both birch pollen and air pollution, the higher OTC sales  were especially obvious and indicate an increased effect  on allergic symptoms from air pollution. Furthermore,  GothenburgLWTs A, NE, E and SEwere associatedwith  high pollen and air pollution levels and thus classified as  high-risk weather types. In Malmo¨, corresponding highrisk  LWTs were NE, E, SE and S. Furthermore,  occurrence of high pollen and air pollutants as well as  OTC sales correlated strongly with vapour pressure  deficit and temperature in Gothenburg (much less so in  Malmo¨). This provides evidence that the combination of  meteorological properties associated with LWTs can  explain high levels of birch pollen and air pollution. Our  study shows that LWTs represent a useful tool for  integrated daily air quality forecasting/warning.	cities
Upright Versus Lying Down Position in Second Stage of Labour in Nulliparous Women With Low Dose Epidural: BUMPES Randomised Controlled Trial	INTERVENTIONS  Women were allocated to an upright or lying down position, using a secure web based randomisation service, stratified by centre, with no masking of participants or clinicians to the trial interventions.  MAIN OUTCOME MEASURES  The primary outcome was spontaneous vaginal birth. Women were analysed in the groups into which they were randomly allocated, regardless of position recorded at any time during the second stage of labour (excluding women with no valid consent, who withdrew, or who did not reach second stage before delivery). Secondary outcomes included mode of birth, perineal trauma, infant Apgar, delivery (adjusted risk ratio 1.08, 99% confidence interval 0.99 to 1.18), obstetric anal sphincter injury (1.27, 0.88 to 1.84), infant Apgar score <4 at five minutes (0.66, 0.06 to 6.88), and maternal faecal incontinence at one year (1.18, 0.61 to 2.28).  CONCLUSIONS  Evidence shows that lying down in the second stage of labour results in more spontaneous vaginal births in nulliparous women with epidural analgesia, with no apparent disadvantages in relation to short or longer term outcomes for mother or baby.	women
Learning is Like a Lava Lamp:  The Student Journey to Critical Thinking	This paper explores the ways in which a university Foundation Degree programme supports undergraduate early years students to develop critical thinking, mindfulness and self-actualisation through their lived personal and professional experiences. It considers the impact of this on graduates employed within the Early Years sector. Findings inform future design of a University Foundation Degree programme situated within Early Childhood Education and Care (ECEC). As undergraduates, students engage in higher-level learning aligned to their practice within the workplace.  An interpretive Participatory Qualitative Research methodology is used to gather the views of 6 alumni who completed their studies in 2014.  They participated in the research freely within ethical parameters approved by a university ethics committee.  Findings revealed that the development of critical thinking is empowered by having a personal or professional impetus, which in the case of Early Years is the child as being at the heart of values based practice. This, with the inclusion of mindfulness, drives students to a sustainable deeper layer of thinking to achieve self-actualisation. Through the acquisition of critical thinking students have been subsequently able to take up positions of authority within the early years workforce.	sustainable
Enhancing Graduate Prospects by Recording and Reflecting on Part-time Work: A Challenge to Students and Universities	Business leaders are becoming increasingly explicit regarding the skills, attributes and behaviours expected of graduate entrants. These skills are often developed through a combination of academic studies and work experience. While universities are increasingly providing opportunities for experiential learning, typically a placement year or internship, a growing number of students are undertaking self-initiated part-time work alongside their full-time degree studies. This part-time employment, typically in retail or hospitality, will help develop the skills, attributes and behaviours that employers demand. However, it is important that graduates are able to elucidate their learning to future employers during the graduate recruitment process. The purpose of this viewpoint article is to challenge full-time degree students who are working part-time to record (perhaps through a logbook) and reflect on their work experience so that they will be able to provide concrete examples to reinforce their skills and experience. The article concludes by discussing the role of universities in the process. Â© The Author(s) 2017.	employment
Plans, Preferences or Going with the Flow: an Online Exploration of Women’s Views and Experiences of Birth Plans	Objective  To explore women’s views of birth plans, and experiences of their completion and use.  Design  A qualitative, exploratory study, using Internet-mediated research methods.  Setting  The discussion boards of two well-known, UK-based, online parenting forums, where a series of questions relating to birth plans were posted.  Participants  Members of the selected parenting forums who had written and used, or who had chosen not to write or use, a birth plan.  Findings  Women responded with a range of views and experiences relating to the completion and use of birth plans.  The benefits of birth plans were described in terms of communication with healthcare professionals, potentially enhancing awareness of available options, and maintaining a sense of control during labour and birth.  However, many respondents believed the idea of ‘planning’ birth was problematic, and described a reluctance to write a formal plan.  The support of healthcare professionals, particularly midwives, was considered essential to the success of both writing and using birth plans.  Key conclusions  Our findings show a continued debate among women on the benefits and challenges involved in writing and using birth plans, suggesting problems for a ‘one size fits all’ approach often seen in the use of birth plan templates.  In the context of maternity policy supporting women’s choice and personalised care, and as a way of acknowledging perceived problems of ‘planning’ for birth, a flexible approach to birth plans is required, including the consideration of employing alternative nomenclature.    Implications for practice  Birth plans remain a point of contention in care contexts around the world.  Midwives and other healthcare providers play a central role in supporting women to discuss available options, whether or not they decide to complete a formal birth plan.	women
Quality of Life, Coping Styles, Stress Levels, and Time Use in Mothers of Children with Autism Spectrum Disorders: Comparing Single Versus Coupled Households	This study aimed to examine the influence of differences in household status on the parental stress, coping, time use and quality of life (QoL) among mothers of children with autism spectrum disorders. Forty-three single and 164 coupled mothers completed the survey. Data were analysed using multivariate logistic regression. We found that single mothers were 1.05 times more likely to report lower levels of environmental QoL. Whilst they were 1.73 times more likely to use acceptance coping style, this association did not persist after adjusting for total number of children, household income and employment status. There was no difference in time use and stress between these mothers. Possible environmental issues for single mothers and implications for future research are discussed. Â© 2017 Springer Science+Business Media, LLC	employment
Gender Differences in Early Reading Strategies: a Comparison of Synthetic Phonics Only with a Mixed Approach to Teaching Reading to 4-5 Year-Old Children	A survey of primary schools in England found that girls outperform boys in English across all phases (Ofsted in Moving English forward. Ofsted, Manchester, 2012). The gender gap remains an on-going issue in England, especially for reading attainment. This paper presents  evidence of gender differences in learning to read that  emerged during the development of a reading scheme for  4- and 5-year-old children in which 372 children from  Reception classes in sixteen schools participated in  12-month trials. There were three arms per trial: Intervention non-PD (non-phonically decodable text with mixed methods teaching); Intervention PD (phonically decodable text with mixed methods teaching); and a ‘business as usual’ control condition SP (synthetic phonics and decodable text). Assignment to Intervention condition was randomised. Standardised measures of word reading and comprehension were used. The research provides statistically significant evidence suggesting that boys learn more easily using a mix of whole-word and synthetic phonics approaches. In addition, the evidence indicates that boys learn to read more easily using the natural-style language of ‘real’ books including vocabulary which goes beyond their assumed decoding ability. At post-test, boys using the nonphonically decodable text with mixed methods (Intervention  A) were 8 months ahead in reading comprehension  compared to boys using a wholly synthetic phonics  approach.	girls
Choice, Informed Consent and Risk-Managing Women’s Care Choices in the Absence of Midwifery Supervision: The Birth Choice Clinic	Women with ‘low-risk’ pregnancies are largely encouraged through research and national policy to  deliver in midwifery-led units or at home; however, the majority continue to attend consultant-led  hospital settings. Much research exists to support midwives in facilitating informed choice but it has  been identified that midwives are often influenced by internal and external factors when providing  this and that time constraints can hinder the process. Supervisors of midwives (SoM) provide a  complex care planning service to women. However, with SoM removed from statute and the new  Advocating for Education and Quality Improvement (A-EQUIP) model not yet widely operational,  a ‘gap’ area has been identified as a potential concern. This ‘gap’ is complex care planning with  women. In response to national changes, an alternative approach at Gloucestershire Hospitals NHS  Foundations Trust to SoM providing complex care planning is the Birth Choice Clinic.	women
Aerobiology in the International Journal of Biometeorology, 1957--2017	Aerobiology and biometeorology are related fields. Here we provide a broad review of aerobiology articles published in the International Journal of Biometeorology (IJB) over the past 60 years. We consider how the quantity of such work has varied over this period as well as which regions and countries have been the focus of such work, and where there is a relative paucity. We then focus on a number of highlights and themes in this research, including aerobiology and climate change and aerobiological modelling and forecasting. While much of the article focusses on airborne pollen research, we also discuss the extent to which other airborne organic particles such as fungal spores and bacteria have been the focus of research published in IJB. Also considered are knowledge gaps and research needs and priorities with respect to the field of aerobiology. While the IJB has been one of the main platforms for presenting aerobiological research over recent decades, the article highlights the need for the field of aerobiology to embrace new sampling technologies such as spectral analysis and next-generation sequencing to identify and quantify airborne biological particles.	climate change
